Date,Dividends
2012-08-09,0.37860
2012-11-07,0.37860
2013-02-07,0.37860
2013-05-09,0.43570
2013-08-08,0.43570
2013-11-06,0.43570
2014-02-06,0.43570
2014-05-08,0.47000
2014-08-07,0.47000
2014-11-06,0.47000
2015-02-05,0.47000
2015-05-07,0.52000
2015-08-06,0.52000
2015-11-05,0.52000
2016-02-04,0.52000
2016-05-05,0.57000
2016-08-04,0.57000
2016-11-03,0.57000
2017-02-09,0.57000
2017-05-11,0.63000
2017-08-10,0.63000
2017-11-10,0.63000
2018-02-09,0.63000
2018-05-11,0.73000
2018-08-10,0.73000
2018-11-08,0.73000
2019-02-08,0.73000
2019-05-10,0.77000
2019-08-09,0.77000
2019-11-07,0.77000
2020-02-07,0.77000
2020-05-08,0.82000
2020-08-07,0.82000
642